,trial,name,params,2009,2010,loss
317,99,only_threshold,{'t_lm': 0.8870992537626977},21,11,37
318,99,without_threshold,{'N_bins': 46},14,18,23
319,99,with_threshold,"{'N_bins': 24, 't_lm': 0.28432511096139984}",8,7,32
320,99,sing.link.,{'eps': 0.1881671302886322},11,3,35
321,99,only_threshold,{'t_lm': 0.6664919390003707},22,11,38
322,99,without_threshold,{'N_bins': 6},7,8,32
323,99,with_threshold,"{'N_bins': 34, 't_lm': 0.5274164940806998}",8,7,32
324,99,sing.link.,{'eps': 0.26277494382218297},14,6,35
325,99,only_threshold,{'t_lm': 0.8467836046635167},21,11,37
326,99,without_threshold,{'N_bins': 50},16,18,25
327,99,with_threshold,"{'N_bins': 17, 't_lm': 0.6119344615052345}",8,7,32
328,99,sing.link.,{'eps': 0.42636792020273295},9,7,31
329,99,only_threshold,{'t_lm': 0.37474116679665526},25,11,41
330,99,without_threshold,{'N_bins': 30},11,11,27
331,99,with_threshold,"{'N_bins': 36, 't_lm': 0.4910362123885771}",8,7,32
332,99,sing.link.,{'eps': 0.43420619718633113},8,7,32
333,99,only_threshold,{'t_lm': 0.7687687853713164},21,12,36
334,99,without_threshold,{'N_bins': 35},11,14,24
335,99,with_threshold,"{'N_bins': 2, 't_lm': 0.7761864481963293}",8,7,32
336,99,sing.link.,{'eps': 0.3442948143147516},10,7,30
337,99,only_threshold,{'t_lm': 0.7145755108614552},21,12,36
338,99,without_threshold,{'N_bins': 30},11,11,27
339,99,with_threshold,"{'N_bins': 34, 't_lm': 0.8976014516858762}",8,7,32
340,99,sing.link.,{'eps': 0.20814584629462984},13,5,35
341,99,only_threshold,{'t_lm': 0.7573764162605848},21,12,36
342,99,without_threshold,{'N_bins': 7},7,9,31
343,99,with_threshold,"{'N_bins': 45, 't_lm': 0.48493559842008893}",8,7,32
344,99,sing.link.,{'eps': 0.48653810881665116},8,5,34
345,99,only_threshold,{'t_lm': 0.2512403461111581},26,15,38
346,99,without_threshold,{'N_bins': 41},12,19,20
347,99,with_threshold,"{'N_bins': 10, 't_lm': 0.25251640472527415}",8,8,31
348,99,sing.link.,{'eps': 0.49937613249606894},8,4,35
349,99,only_threshold,{'t_lm': 0.6779141743537289},21,12,36
350,99,without_threshold,{'N_bins': 43},13,18,22
351,99,with_threshold,"{'N_bins': 48, 't_lm': 0.2875833348728304}",9,7,31
352,99,sing.link.,{'eps': 0.29591427997428893},14,9,32
353,99,only_threshold,{'t_lm': 0.7745371512255991},21,12,36
354,99,without_threshold,{'N_bins': 26},11,11,27
355,99,with_threshold,"{'N_bins': 4, 't_lm': 0.35027398730399817}",8,7,32
356,99,sing.link.,{'eps': 0.2711547704021481},13,8,32
357,99,only_threshold,{'t_lm': 0.5720233249946869},23,11,39
358,99,without_threshold,{'N_bins': 14},8,8,31
359,99,with_threshold,"{'N_bins': 44, 't_lm': 0.32799099418347477}",9,7,31
360,99,sing.link.,{'eps': 0.16645841343595427},11,4,34
361,99,only_threshold,{'t_lm': 0.8001744309324905},21,11,37
362,99,without_threshold,{'N_bins': 40},11,19,19
363,99,with_threshold,"{'N_bins': 37, 't_lm': 0.8443945704343341}",8,7,32
364,99,sing.link.,{'eps': 0.21225083338265469},12,3,36
365,99,only_threshold,{'t_lm': 0.3714417273642713},25,11,41
366,99,without_threshold,{'N_bins': 17},8,10,29
367,99,with_threshold,"{'N_bins': 21, 't_lm': 0.40910732653470006}",8,7,32
368,99,sing.link.,{'eps': 0.3443843735637636},10,7,30
369,99,only_threshold,{'t_lm': 0.761635921656549},21,12,36
370,99,without_threshold,{'N_bins': 2},8,7,32
371,99,with_threshold,"{'N_bins': 28, 't_lm': 0.6504546779401233}",8,7,32
372,99,sing.link.,{'eps': 0.2531352942216914},14,6,35
